id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
a1616f8c-f207-434a-a29e-7df703bce956,Noah,Fant,188.2,94.2,TE23,TE,Seattle Seahawks,,
1023044d-aeee-4db8-8c92-b7167c6d9f66,Drew,Lock,190.4,116.9,QB36,QB,Seattle Seahawks,,
c3197c52-23ad-4abc-a18f-23dde08868fc,Van,Jefferson,190.4,115,WR75,WR,Los Angeles Rams,,
92b20d83-947a-423b-a094-4edc5b800e91,Darrel,Williams,191.4,41.9,RB56,RB,Arizona Cardinals,,
e40d466d-9089-4966-9c09-1721db14d6f4,Marlon,Mack,191.6,131.7,RB57,RB,Houston Texans,,
977d162b-e98a-4dd8-a7dd-8f047977d31d,KJ,Hamler,192.2,75.1,WR76,WR,Denver Broncos,,
46d93a01-a0ee-496b-979f-032807498714,J.D.,McKissic,193.4,95.7,RB58,RB,Washington Commanders,,
f358681e-6654-4f02-984d-4a67f8c68483,Austin,Hooper,195.4,66.3,TE24,TE,Tennessee Titans,,
b26f31dd-8e2c-437f-9358-b74997edfbb0,Malik,Willis,196.2,79.7,QB37,QB,Tennessee Titans,,
7a91d455-8ef3-4673-97bb-db92c381db75,Geno,Smith,197.2,1.1,QB38,QB,Seattle Seahawks,,
22135d14-2e79-428e-9acf-c7cab2c57aca,Marvin,Jones,199.6,90.5,WR77,WR,Jacksonville Jaguars,,
7418599f-8e7e-4db6-a44f-03b355b93ddc,Sammy,Watkins,200.2,69.9,WR78,WR,Green Bay Packers,,
cf173612-5153-42e5-8c3e-9dc53afc8515,Taysom,Hill,200.4,99.6,TE25,TE,New Orleans Saints,,
c734f045-a881-47f8-9b3c-0a6984d74f8a,Zay,Jones,202.2,29.6,WR79,WR,Jacksonville Jaguars,,
ce58c0b9-36d9-4ead-8587-77db5df771be,Mo,Alie-Cox,203.2,64.9,TE26,TE,Indianapolis Colts,,
8de8a9df-dac2-4292-90e3-1ea33c16f01a,Brevin,Jordan,203.6,54.2,TE27,TE,Houston Texans,,
c0698e20-7188-44eb-8713-832115ad70e2,Jerick,McKinnon,205,109.7,RB59,RB,Kansas City Chiefs,,
ac35a531-5c8c-4fa3-a761-4fdb5acc3cf7,Parris,Campbell,205.8,79,WR80,WR,Indianapolis Colts,,
e84b634b-e39e-4df0-b4e9-b2193192c0c1,Corey,Davis,206,123.2,WR81,WR,NY Jets,,
30344428-9434-4cc5-a07a-dce62ddfb9d2,Logan,Thomas,207.6,102.6,TE28,TE,Washington Commanders,,
83ac713a-ec44-4921-a064-24be6f757859,Zack,Moss,207.8,68.2,RB60,RB,Buffalo Bills,,
eb7e4dc9-e968-4e82-9716-7005b637abb8,Ronald,Jones,208.8,97.1,RB61,RB,Kansas City Chiefs,,
b0801430-659b-4983-84e7-99a79fe41f8e,Gus,Edwards,209.2,105.4,RB62,RB,Baltimore Ravens,,
65664857-ddfd-433b-b1ee-d090eb7def21,Mark,Ingram,210.4,99.7,RB63,RB,New Orleans Saints,,
2c70159f-bdc6-4159-ac66-ebbe925b12fa,D'Ernest,Johnson,211.2,63,RB64,RB,Cleveland Browns,,
daeac7cf-e801-4df2-b0aa-1d675592d856,Eno,Benjamin,213.2,0.4,RB65,RB,Arizona Cardinals,,
9352f031-6c00-4789-ac53-696d8a8f018e,Cameron,Brate,215.4,54.2,TE29,TE,Tampa Bay Buccaneers,,
73352506-e52d-43cd-b1a8-c97d64bbbd6a,Devin,Duvernay,216.2,43.1,WR82,WR,Baltimore Ravens,,
532f7efe-176d-41c4-98aa-9f7dc97fced2,Joshua,Kelley,217.6,69.7,RB66,RB,Los Angeles Chargers,,
b5389f44-48c3-44bc-87c7-0296d8577df8,Jaylen,Warren,218,0,RB67,RB,Pittsburgh Steelers,,
b43b822b-1c4c-4df3-b4be-6d88d8f51a3d,Gardner,Minshew,219.2,56.1,QB39,QB,Philadelphia Eagles,,
4ff09e35-d022-4f90-af30-119d6cd50785,Jamison,Crowder,219.8,70.7,WR83,WR,Buffalo Bills,,
0c21db67-265b-4b54-be3b-f79326ee35bf,Odell,Beckham,220.4,123.5,WR84,WR,,,
032cdd9a-8d45-4818-a644-10377b1478fd,Jeff,Wilson,220.4,55.9,RB68,RB,San Francisco 49ers,,
